Id,title,distributor,Genre,leadActor,Actor popularity,director,Director popularity,Sentiment,num_theaters,runtime_mins,releaseYear,CULT_INDEX,CPI,prod_budget_ADJ,rev_totalGross_ADJ
3312,The 6th Day,Sony / Columbia,Sci-Fi Action,Arnold Schwarzenegger,9.295543,Roger Spottiswoode,4.03728,-1,2516,124,2000,8.11E-11,172.2,113333333.3,90688590.89
3459,Vertical Limit,Sony / Columbia,Action,Chris O Donnell,3.314571,Martin Campbell,1.907072,-1,2307,124,2000,1.25E-10,172.2,103658536.6,181469691.1
3342,The Contender,DreamWorks,Drama / Thriller,Joan Allen,5.393153,Rod Lurie,1.002988,-1,1516,127,2000,4.10E-10,172.2,27642276.42,46839641.35
3383,The Legend of Bagger Vance,DreamWorks,Sports Drama,Matt Damon,9.690772,Robert Redford,7.203566,-1,2061,127,2000,1.13E-10,172.2,110569105.7,81030894.95
3380,Keeping the Faith,Buena Vista,Romantic Comedy,Ben Stiller,9.417452,Edward Norton,9.69627,-1,2152,129,2000,2.64E-10,172.2,40081300.81,97092614.92
3410,The Perfect Storm,Warner Bros.,Action Drama,George Clooney,10.262565,Wolfgang Petersen,4.242663,-1,3407,129,2000,3.14E-11,172.2,193495935,478594221.6
3393,Men of Honor,Fox,Period Drama,Robert De Niro,12.722473,"George Tillman, Jr.",1.325389,-1,2092,129,2000,1.31E-10,172.2,44227642.28,127941374.7
3359,Finding Forrester,Sony / Columbia,Drama,Sean Connery,10.590003,Gus Van Sant,2.540391,-1,200,136,2000,5.26E-18,172.2,6910569.106,135766342
3375,The House of Mirth,Sony Classics,Period Drama,Gillian Anderson,6.719518,Terence Davies,1.000554,1,7,140,2000,0.0001827843175,172.2,991808.9615,7975635.894
3205,Fantasia 2000,Buena Vista,IMAX,James Levine,1.4,"Eric Goldberg, James Algar, Don Hahn, Hendel Butoy, Francis Glebas, Gaëtan Brizzi, Pixote Hunt, Paul Brizzi",1.005318,1,54,75,2000,7.80E-15,172.2,110569105.7,158961682.5
3357,Fantasia 2000,Buena Vista,IMAX,James Levine,1.4,"Eric Goldberg, James Algar, Don Hahn, Hendel Butoy, Francis Glebas, Gaëtan Brizzi, Pixote Hunt, Paul Brizzi",1.005318,1,54,75,2000,7.80E-15,172.2,110569105.7,158961682.5
3311,3 Strikes,MGM,Crime Comedy,Brian Hooks,1.000006,DJ Pooh,1.000011,1,678,82,2000,1.07E-09,172.2,46991869.92,25767485.41
3346,Dinosaur,Buena Vista,Animation,D. B. Sweeney,1.879134,"Eric Leighton, Ralph Zondag",1.319536,1,3257,82,2000,2.80E-11,172.2,1762195122,361000943.6
3345,Digimon: The Movie,Fox,Animation,Lara Jill Miller,1.52,"Mamoru Hosoda, Minoru Hosoda",1.83306,1,1823,82,2000,2.95E-10,172.2,6910569.106,25240683.93
3350,"Dude, Where s My Car?",Fox,Comedy,Ashton Kutcher,4.258537,Danny Leiner,1.000034,1,2087,83,2000,1.17E-10,172.2,17967479.67,122466345.6
3182,But I m a Cheerleader,Lions Gate,Comedy,Natasha Lyonne,3.087959,Jamie Babbit,1.030467,1,4,84,2000,0.0001510965008,172.2,718815.7625,5780360.252
3430,Scary Movie,Miramax,Horror Comedy,Marlon Wayans,4.101238,Keenen Ivory Wayans,2.221945,1,2912,88,2000,3.01E-11,172.2,26260162.6,411506951.6
3406,Panic,Roxie,Crime Drama,William H. Macy,4.371691,Henry Bromell,2.325409,1,4,88,2000,0.0006007853665,172.2,1382113.821,2041910.326
3467,Where the Money Is,USA Films,Crime Comedy,Paul Newman,4.339829,Marek Kanievska,1.893984,0,1538,89,2000,5.83E-10,172.2,38699186.99,14838062.88
3404,The Opportunists,First Look,Crime Comedy,Christopher Walken,7.446107,Myles Connell,1.001891,0,5,90,2000,5.30E-05,172.2,190343.661,1530649.8
3367,Gossip,Warner Bros.,Thriller,James Marsden,4.916927,Davis Guggenheim,1.732003,0,1525,90,2000,6.21E-10,172.2,33170731.71,13388854.99
3326,Best in Show,Warner Bros.,Comedy,Parker Posey,9.425274,Christopher Guest,1.003902,0,13,90,2000,8.42E-06,172.2,13821138.21,49048052.11
3447,Supernova,MGM,Sci-Fi Thriller,James Spader,2.40146,Walter Hill,2.373929,0,2280,91,2000,1.87E-10,172.2,124390243.9,37294228.1
3324,Bedazzled,Fox,Fantasy Comedy,Brendan Fraser,5.270638,Harold Ramis,3.869908,0,2568,93,2000,8.59E-11,172.2,66341463.41,99291672.28
3426,Road Trip,DreamWorks,Comedy,Breckin Meyer,1.274961,Todd Phillips,1.678472,0,2530,94,2000,1.13E-10,172.2,22113821.14,179627100.6
3349,Drowning Mona,Destination,Comedy,Bette Midler,3.120187,Nick Gomez,1.582503,0,1981,95,2000,2.33E-10,172.2,51138211.38,40639093.68
3399,My Dog Skip,Warner Bros.,Family,Frankie Muniz,3.068217,Jay Russell,1.002195,0,5,95,2000,3.39E-14,172.2,8292682.927,89457792.3
3387,Loser,Sony / Columbia,Romantic Comedy,Jason Biggs,2.651447,Amy Heckerling,1.002412,0,2016,95,2000,2.15E-10,172.2,27642276.42,40932254.15
3439,Small Time Crooks,DreamWorks,Crime Comedy,Woody Allen,6.216602,Woody Allen,6.216602,0,865,95,2000,1.33E-09,172.2,34552845.53,45250522.99
3388,Lost Souls,New Line,Horror,Winona Ryder,11.174329,Janusz Kamiński,1.662745,0,1970,97,2000,1.35E-10,172.2,69105691.06,44068294.44
5018,The Final Destination,New Line,Horror,Bobby Campo,1.009036,David R. Ellis,1.601444,0,2587,98,2000,2.05E-10,172.2,31788617.89,139766715.9
3358,Final Destination,New Line,Horror,Devon Sawa,2.372847,James Wong,1.12,0,2587,98,2000,2.05E-10,172.2,31788617.89,139766715.9
3425,The Road to El Dorado,DreamWorks,Animation,Kevin Kline,4.40648,"Bibo Bergeron, Will Finn",1.004612,0,3218,99,2000,9.58E-11,172.2,131300813,133300305.3
5382,Restless,Arrow Releasing,Romance,Henry Hopper,1.001627,Gus Van Sant,2.540391,0,400,100,2000,5.05E-11,172.2,5916.281097,47576.79336
3403," O Brother, Where Art Thou?",Buena Vista,Adventure Comedy,George Clooney,10.262565,Joel and Ethan Coen,3.270991,0,5,102,2000,1.85E-14,172.2,14799000.81,119276357.5
3440,Snatch,Sony / Screen Gems,Crime Comedy,Benicio del Toro,5.728506,Guy Ritchie,5.176194,0,1,103,2000,4.51E-15,172.2,9759890.61,79482010.09
3315,American Psycho,Lions Gate,Thriller,Christian Bale,11.706108,Mary Harron,1.068878,0,1236,104,2000,4.95E-10,172.2,9674796.748,39495198.6
