Id,title,distributor,Genre,leadActor,Actor popularity,director,Director popularity,Sentiment,rev_totalGross,rev_opening,num_theaters,runtime,rev_postOpening,runtime_mins,releaseYear,rev_opening_ADJ,rev_totalGross_ADJ,CPI,prod_budget_ADJ,CULT_INDEX
3443,Sound and Fury,Artistic License,Documentary,conflict between cochlear implants,17.051383,Josh Aronson,1,1,185978.7849,7104,1740,1 hrs. 20 min.,289574.6518,80,2000,11500.43774,301075.0895,172.2,37440.13798,1.31E-06
3457,Under Suspicion,Lions Gate,Unknown,Gene Hackman,6.127623,Stephen Hopkins,2.342856,-1,421815.4642,109863,19,1 hrs. 50 min.,505009.8382,110,2000,177853.6868,682863.525,172.2,34552845.53,1.14E-06
3386,Long Night s Journey into Day,7th Art,Documentary,N.A,9.070976,"Deborah Hoffmann, Frances Reid",1.509201,-1,82100.88679,6027,1740,1 hrs. 34 min.,123153.5752,94,2000,9756.916981,132910.4922,172.2,16528.0557,8.02E-07
3316,Animal Factory,Silver Nitrate,Unknown,Willem Dafoe,23.099578,Steve Buscemi,10.39195,1,70914.50943,5746,1740,1 hrs. 34 min.,105499.2096,94,2000,9302.015094,114801.2247,172.2,14276.08082,7.63E-07
3095,Restaurant,Palisades Ent.,Unknown,Adrien Brody,7.94039,Eric Bross,1.000116,0,121790.6717,11750,1740,1 hrs. 47 min.,178141.3138,107,2000,19021.69811,197163.0119,172.2,24518.15974,3.13E-07
3458,Up at the Villa,USA Films,Period Drama,Kristin Scott Thomas,16.894795,Philip Haas,1.000157,1,4748400.26,339819,89,1 hrs. 55 min.,7136910.795,115,2000,550122.0792,7687032.874,172.2,955919.3348,2.85E-07
3185,Coming Soon,Unapix Ent.,Unknown,Bonnie Root,1.228239,Colette Burson,1.047416,1,8827.686792,3742,1740,1 hrs. 36 min.,8233.055223,96,2000,6057.803774,14290.859,172.2,1777.132018,2.24E-07
3394,Mercy Streets,Providence,Unknown,Eric Roberts,4.142503,John Gunn,1,0,281033.8528,79607,173,1 hrs. 46 min.,326083.4712,106,2000,128873.2189,454956.6901,172.2,829268.2927,1.58E-07
3192,Deterrence,Paramount Classics,Unknown,Kevin Pollak,4.362096,Rod Lurie,1.002988,1,234850.7887,23318,1740,1 hrs. 41 min.,342443.6466,101,2000,37748.76226,380192.4088,172.2,1105691.057,1.53E-07
3414,Prince of Central Park,Keystone,Unknown,Kathleen Turner,3.953647,John Leekley,1.000384,0,12688.68679,5810,1740,1 hrs. 49 min.,11135.68541,109,2000,9405.622642,20541.30805,172.2,2554.402567,1.33E-07
3407,Passion of Mind,Paramount Classics,Romance,Demi Moore,5.04487,Alain Berliner,1.000025,1,1245349.766,236047,104,1 hrs. 45 min.,1633927.874,105,2000,382128.917,2016056.791,172.2,250706.0903,1.33E-07
1160,Orphans,Shooting Gallery,Unknown,Albert Finney,3.487617,Alan J. Pakula,1.833115,0,88639.49434,16098,1740,1 hrs. 41 min.,117435.0984,101,2000,26060.53585,143495.6342,172.2,17844.35425,1.21E-07
3450,Tigerland,Fox,Unknown,Colin Farrell,7.045381,Joel Schumacher,2.130196,-1,226142.8981,26715,1740,1 hrs. 40 min.,322847.4275,100,2000,43248.0566,366095.4841,172.2,45525.70997,1.12E-07
3368,Gun Shy,Buena Vista,Crime Comedy,Liam Neeson,17.051383,Eric Blakeney,1.005513,-1,2652032.672,703109,296,1 hrs. 42 min.,3155050.019,102,2000,1138240.608,4293290.627,172.2,19349593.5,1.12E-08
3313,All the Pretty Horses,Miramax,Western,Matt Damon,9.070976,Billy Bob Thornton,7.839628,1,25157779.01,1304971,1483,1 hrs. 57 min.,38614545.79,117,2000,2112575.694,40727121.49,172.2,78780487.8,6.15E-09
3455,Turn It Up,New Line,Music Drama,Pras,1.156,Robert Adetuyi,1.178253,-1,2020264.608,576820,661,1 hrs. 27 min.,2336746.176,87,2000,933795.3962,3270541.572,172.2,17967479.67,5.67E-09
3323,Beautiful,Destination,Comedy / Drama,Minnie Driver,4.793111,Sally Field,6.01136,0,5111329.404,1409433,646,1 hrs. 52 min.,5992881.348,112,2000,2281685.875,8274567.223,172.2,19349593.5,2.46E-09
3351,Duets,Buena Vista,Comedy,Maria Bello,5.171118,Bruce Paltrow,1.001769,0,7671852.328,2002588,581,1 hrs. 52 min.,9177790.177,112,2000,3241925.479,12419715.66,172.2,29024390.24,2.03E-09
3370,Held Up,Trimark,Comedy,Jamie Foxx,6.121694,Steve Rash,1.017885,1,7617795.091,1911007,688,1 hrs. 28 min.,9238536.192,88,2000,3093667.936,12332204.13,172.2,1533566.549,1.87E-09
3219,Held Up,Trimark,Comedy,Jamie Foxx,6.121694,Steve Rash,1.017885,1,7617795.091,1911007,688,1 hrs. 28 min.,9238536.192,88,2000,3093667.936,12332204.13,172.2,1533566.549,1.87E-09
3378,The In Crowd,Warner Bros.,Thriller,Susan Ward,3.941078,Mary Lambert,1.834047,0,8547679.302,1505551,1357,1 hrs. 45 min.,11400275.63,105,2000,2437288.223,13837563.85,172.2,33170731.71,1.72E-09
3413,Price of Glory,New Line,Sports Drama,Jimmy Smits,3.42767,Carlos Avila,1,1,5569274.762,1611833,802,1 hrs. 57 min.,6406575.532,117,2000,2609344.743,9015920.276,172.2,24878048.78,1.65E-09
3439,Small Time Crooks,DreamWorks,Crime Comedy,Woody Allen,6.216602,Woody Allen,6.216602,0,27951954.76,3880723,865,1 hrs. 35 min.,38968145,95,2000,6282377.989,45250522.99,172.2,34552845.53,1.33E-09
3470,Woman on Top,Fox Searchlight,Romantic Comedy,Penélope Cruz,12.102942,Fina Torres,1.000001,1,8126896.675,2008191,1085,1 hrs. 32 min.,9905376.358,92,2000,3250995.996,13156372.35,172.2,11056910.57,1.15E-09
3311,3 Strikes,MGM,Crime Comedy,Brian Hooks,1.000006,DJ Pooh,1.000011,0,15916978.17,3684704,678,1 hrs. 22 min.,19802436.29,82,2000,5965049.117,25767485.41,172.2,46991869.92,1.07E-09
3461,The Way of the Gun,Artisan,Action / Crime,Benicio del Toro,7.10169,Christopher McQuarrie,5.464695,1,9803315.355,2150979,1515,1 hrs. 59 min.,12388121.87,119,2000,3482150.909,15870272.78,172.2,117479674.8,8.64E-10
3171,Black and White,Sony / Columbia,Crime Drama,Robert Downey,19.337941,James Toback,1.774208,-1,8543250.079,2212535,1284,1 hrs. 39 min.,10248591.58,99,2000,3581801.943,13830393.52,172.2,16585365.85,8.40E-10
3367,Gossip,Warner Bros.,Thriller,James Marsden,4.916927,Davis Guggenheim,1.732003,0,8270504.83,2321729,1525,1 hrs. 30 min.,9630282.382,90,2000,3758572.608,13388854.99,172.2,33170731.71,6.21E-10
3467,Where the Money Is,USA Films,Crime Comedy,Paul Newman,4.339829,Marek Kanievska,1.893984,0,9165703.177,2513530,1538,1 hrs. 29 min.,10768989.79,89,2000,4069073.094,14838062.88,172.2,38699186.99,5.83E-10
3372,High Fidelity,Buena Vista,Romantic Comedy,John Cusack,5.552555,Stephen Frears,2.308053,-1,44174270.84,6429107,1183,1 hrs. 54 min.,61104435.05,114,2000,10407875.11,71512310.15,172.2,41463414.63,5.58E-10
